periode_data;bulan;tanggal;stasiun;pm_sepuluh;pm_duakomalima;sulfur_dioksida;karbon_monoksida;ozon;nitrogen_dioksida;max;parameter_pencemar_kritis;kategori
202504;4;24;DKI5 Kebon Jeruk;160;500;180;30;160;40;500;PM25;BAIK
202504;4;25;DKI5 Kebon Jeruk;230;810;190;90;240;30;810;PM25;SEDANG
202504;4;26;DKI5 Kebon Jeruk;300;770;200;110;290;30;770;PM25;SEDANG
202504;4;27;DKI5 Kebon Jeruk;310;850;210;120;470;40;850;PM25;SEDANG
202504;4;28;DKI5 Kebon Jeruk;240;780;200;90;370;40;780;PM25;SEDANG
202504;4;29;DKI5 Kebon Jeruk;210;810;210;90;330;50;810;PM25;SEDANG
202504;4;30;DKI5 Kebon Jeruk;240;880;210;80;370;50;880;PM25;SEDANG
202505;5;1;DKI1 Bundaran Hotel Indonesia (HI);580;910;340;170;190;410;910;PM25;SEDANG
202505;5;2;DKI1 Bundaran Hotel Indonesia (HI);580;890;330;140;200;360;890;PM25;SEDANG
202505;5;3;DKI1 Bundaran Hotel Indonesia (HI);560;830;330;150;160;460;830;PM25;SEDANG
202505;5;4;DKI1 Bundaran Hotel Indonesia (HI);520;730;290;150;160;360;730;PM25;SEDANG
202505;5;5;DKI1 Bundaran Hotel Indonesia (HI);600;960;350;200;110;420;960;PM25;SEDANG
202505;5;6;DKI1 Bundaran Hotel Indonesia (HI);530;830;320;190;130;470;830;PM25;SEDANG
202505;5;7;DKI1 Bundaran Hotel Indonesia (HI);580;850;310;230;120;500;850;PM25;SEDANG
202505;5;8;DKI1 Bundaran Hotel Indonesia (HI);660;1010;290;320;110;560;1010;PM25;TIDAK SEHAT
202505;5;9;DKI1 Bundaran Hotel Indonesia (HI);540;800;290;180;160;400;800;PM25;SEDANG
202505;5;10;DKI1 Bundaran Hotel Indonesia (HI);560;880;330;180;230;390;880;PM25;SEDANG
202501;1;15;DKI5 Kebon Jeruk Jakarta Barat;150;490;130;60;200;40;490;PM25;BAIK
202501;1;16;DKI5 Kebon Jeruk Jakarta Barat;110;540;210;50;420;40;540;PM25;SEDANG
202501;1;17;DKI5 Kebon Jeruk Jakarta Barat;110;540;260;40;500;50;540;PM25;SEDANG
202501;1;18;DKI5 Kebon Jeruk Jakarta Barat;70;250;110;30;550;;550;O3;SEDANG
202501;1;19;DKI5 Kebon Jeruk Jakarta Barat;110;370;240;30;490;30;490;O3;BAIK
202501;1;20;DKI5 Kebon Jeruk Jakarta Barat;100;430;180;30;520;50;520;O3;SEDANG
202501;1;21;DKI5 Kebon Jeruk Jakarta Barat;150;540;30;120;380;130;540;PM25;SEDANG
202501;1;22;DKI5 Kebon Jeruk Jakarta Barat;150;530;160;100;260;140;530;PM25;SEDANG
202501;1;23;DKI5 Kebon Jeruk Jakarta Barat;160;660;280;70;280;150;660;PM25;SEDANG
202501;1;24;DKI5 Kebon Jeruk Jakarta Barat;170;740;250;130;250;130;740;PM25;SEDANG
202501;1;25;DKI5 Kebon Jeruk Jakarta Barat;160;640;220;100;240;90;640;PM25;SEDANG
202501;1;26;DKI5 Kebon Jeruk Jakarta Barat;170;620;340;80;210;90;620;PM25;SEDANG
202501;1;27;DKI5 Kebon Jeruk Jakarta Barat;100;540;240;30;130;80;540;PM25;SEDANG
202501;1;28;DKI5 Kebon Jeruk Jakarta Barat;80;320;220;30;200;70;320;PM25;BAIK
202501;1;29;DKI5 Kebon Jeruk Jakarta Barat;110;320;150;60;250;140;320;PM25;BAIK
202501;1;30;DKI5 Kebon Jeruk Jakarta Barat;80;240;130;40;280;80;280;O3;BAIK
202501;1;31;DKI5 Kebon Jeruk Jakarta Barat;100;510;140;70;260;130;510;PM25;SEDANG
202505;5;11;DKI1 Bundaran Hotel Indonesia (HI);610;870;300;220;190;370;870;PM25;SEDANG
202505;5;12;DKI1 Bundaran Hotel Indonesia (HI);380;590;290;140;110;240;590;PM25;SEDANG
202505;5;13;DKI1 Bundaran Hotel Indonesia (HI);360;620;310;120;150;230;620;PM25;SEDANG
202505;5;14;DKI1 Bundaran Hotel Indonesia (HI);470;710;310;160;210;410;710;PM25;SEDANG
