iter	Passed	Remaining
0	37	56642
1	78	58533
2	111	55603
3	138	51894
4	172	51690
5	204	50832
6	242	51747
7	281	52548
8	317	52645
9	343	51232
10	377	51164
11	405	50286
12	453	51920
13	485	51533
14	499	49475
15	531	49276
16	563	49176
17	579	47683
18	594	46351
19	623	46137
20	653	46009
21	680	45713
22	687	44133
23	733	45117
24	752	44376
25	784	44458
26	815	44466
27	832	43754
28	862	43753
29	889	43568
30	934	44272
31	966	44341
32	982	43678
33	1000	43148
34	1034	43281
35	1052	42801
36	1074	42496
37	1094	42096
38	1114	41733
39	1143	41755
40	1181	42027
41	1215	42194
42	1249	42337
43	1283	42459
44	1310	42359
45	1322	41817
46	1353	41837
47	1374	41582
48	1402	41532
49	1453	42151
50	1470	41778
51	1504	41885
52	1530	41778
53	1554	41618
54	1591	41823
55	1614	41627
56	1633	41354
57	1663	41362
58	1702	41578
59	1735	41649
60	1762	41571
61	1796	41678
62	1811	41312
63	1855	41638
64	1884	41604
65	1916	41646
66	1944	41595
67	1983	41778
68	2017	41842
69	2042	41734
70	2081	41893
71	2105	41750
72	2120	41449
73	2161	41648
74	2177	41375
75	2190	41046
76	2210	40852
77	2222	40514
78	2234	40187
79	2260	40119
80	2286	40051
81	2298	39748
82	2327	39740
83	2347	39569
84	2362	39334
85	2371	38999
86	2397	38942
87	2428	38959
88	2444	38758
89	2453	38437
90	2492	38595
91	2527	38686
92	2548	38562
93	2577	38559
94	2610	38602
95	2629	38451
96	2640	38190
97	2662	38092
98	2724	38553
99	2753	38551
100	2785	38581
101	2807	38482
102	2824	38312
103	2843	38170
104	2860	38000
105	2874	37803
106	2906	37843
107	2927	37732
108	2954	37699
109	2981	37675
110	3005	37615
111	3027	37521
112	3051	37450
113	3077	37414
114	3090	37214
115	3106	37062
116	3144	37165
117	3165	37078
118	3184	36956
119	3198	36780
120	3230	36816
121	3244	36651
122	3268	36586
123	3290	36512
124	3307	36385
125	3325	36268
126	3338	36097
127	3375	36183
128	3398	36114
129	3419	36039
130	3444	36000
131	3473	36002
132	3489	35860
133	3499	35676
134	3527	35664
135	3546	35567
136	3585	35676
137	3618	35709
138	3647	35713
139	3664	35600
140	3694	35609
141	3728	35657
142	3762	35705
143	3793	35726
144	3832	35817
145	3851	35714
146	3880	35715
147	3898	35615
148	3939	35719
149	3978	35803
150	3996	35703
151	4010	35565
152	4035	35528
153	4093	35780
154	4126	35804
155	4145	35717
156	4160	35589
157	4197	35649
158	4242	35782
159	4276	35812
160	4321	35940
161	4336	35812
162	4352	35705
163	4379	35680
164	4391	35532
165	4421	35529
166	4453	35546
167	4485	35565
168	4514	35557
169	4532	35456
170	4566	35492
171	4592	35462
172	4612	35381
173	4638	35348
174	4675	35398
175	4700	35363
176	4718	35268
177	4756	35326
178	4785	35314
179	4811	35287
180	4842	35286
181	4869	35266
182	4902	35283
183	4920	35194
184	4943	35135
185	4962	35059
186	4976	34945
187	5005	34930
188	5031	34900
189	5040	34756
190	5051	34618
191	5068	34531
192	5087	34449
193	5113	34427
194	5136	34377
195	5142	34213
196	5167	34179
197	5195	34162
198	5212	34079
199	5236	34034
200	5262	34011
201	5305	34091
202	5323	34015
203	5348	33975
204	5382	34002
205	5409	33982
206	5429	33911
207	5442	33805
208	5461	33734
209	5484	33690
210	5498	33591
211	5514	33500
212	5538	33462
213	5550	33354
214	5573	33310
215	5615	33378
216	5637	33329
217	5646	33207
218	5686	33262
219	5704	33191
220	5731	33167
221	5749	33101
222	5788	33149
223	5810	33101
224	5849	33147
225	5874	33115
226	5888	33022
227	5903	32936
228	5919	32852
229	5935	32772
230	5961	32751
231	5977	32667
232	6022	32748
233	6052	32743
234	6089	32781
235	6096	32651
236	6102	32521
237	6120	32452
238	6149	32444
239	6165	32369
240	6195	32367
241	6223	32353
242	6256	32362
243	6297	32418
244	6325	32399
245	6348	32363
246	6391	32424
247	6435	32488
248	6453	32423
249	6491	32458
250	6517	32432
251	6553	32453
252	6582	32445
253	6595	32356
254	6615	32297
255	6639	32263
256	6655	32188
257	6666	32090
258	6699	32100
259	6731	32105
260	6762	32102
261	6775	32015
262	6812	32040
263	6820	31934
264	6850	31926
265	6875	31896
266	6892	31828
267	6897	31709
268	6929	31708
269	6967	31742
270	6972	31622
271	7001	31609
272	7032	31607
273	7059	31586
274	7086	31566
275	7109	31527
276	7121	31444
277	7132	31350
278	7149	31289
279	7181	31291
280	7214	31298
281	7246	31299
282	7261	31228
283	7291	31219
284	7316	31191
285	7342	31165
286	7373	31163
287	7420	31229
288	7442	31184
289	7459	31124
290	7473	31049
291	7483	30958
292	7494	30871
293	7505	30788
294	7515	30699
295	7541	30674
296	7555	30604
297	7567	30522
298	7605	30548
299	7627	30510
300	7649	30469
301	7666	30412
302	7712	30467
303	7725	30395
304	7741	30330
305	7755	30262
306	7782	30243
307	7802	30197
308	7824	30156
309	7832	30065
310	7857	30040
311	7876	29990
312	7899	29957
313	7912	29887
314	7917	29783
315	7930	29713
316	7951	29674
317	7967	29614
318	7993	29594
319	8018	29567
320	8049	29564
321	8074	29539
322	8113	29566
323	8139	29544
324	8152	29475
325	8169	29420
326	8178	29336
327	8219	29371
328	8248	29359
329	8266	29308
330	8280	29243
331	8293	29178
332	8312	29132
333	8326	29067
334	8334	28982
335	8359	28958
336	8372	28893
337	8399	28876
338	8417	28827
339	8460	28866
340	8482	28831
341	8501	28785
342	8528	28766
343	8547	28722
344	8578	28718
345	8592	28658
346	8623	28654
347	8638	28595
348	8677	28616
349	8708	28612
350	8750	28644
351	8781	28640
352	8798	28588
353	8813	28532
354	8826	28469
355	8840	28408
356	8855	28352
357	8870	28297
358	8886	28242
359	8900	28186
360	8913	28123
361	8938	28100
362	8967	28088
363	8997	28079
364	9002	27995
365	9013	27927
366	9024	27859
367	9058	27864
368	9072	27807
369	9076	27721
370	9090	27662
371	9132	27693
372	9173	27716
373	9202	27704
374	9216	27650
375	9231	27595
376	9252	27562
377	9272	27524
378	9294	27489
379	9307	27431
380	9337	27424
381	9345	27351
382	9355	27285
383	9366	27221
384	9386	27184
385	9400	27130
386	9439	27148
387	9460	27112
388	9476	27065
389	9497	27031
390	9529	27030
391	9558	27018
392	9584	26997
393	9603	26957
394	9616	26902
395	9627	26841
396	9637	26776
397	9646	26710
398	9670	26685
399	9691	26650
400	9725	26653
401	9759	26657
402	9790	26649
403	9816	26631
404	9826	26566
405	9837	26506
406	9869	26504
407	9910	26524
408	9963	26576
409	9992	26564
410	10006	26514
411	10043	26523
412	10080	26530
413	10123	26556
414	10140	26511
415	10166	26490
416	10184	26449
417	10191	26380
418	10211	26345
419	10224	26292
420	10238	26241
421	10277	26253
422	10298	26220
423	10327	26209
424	10365	26219
425	10397	26212
426	10424	26195
427	10444	26159
428	10457	26106
429	10477	26071
430	10505	26056
431	10519	26005
432	10526	25940
433	10550	25913
434	10570	25879
435	10602	25874
436	10613	25816
437	10627	25769
438	10663	25772
439	10688	25748
440	10728	25761
441	10758	25751
442	10783	25729
443	10822	25739
444	10852	25729
445	10879	25710
446	10892	25660
447	10915	25631
448	10929	25584
449	10972	25602
450	10990	25563
451	11021	25554
452	11039	25514
453	11073	25511
454	11124	25550
455	11158	25547
456	11191	25541
457	11205	25494
458	11250	25516
459	11285	25515
460	11309	25490
461	11324	25442
462	11357	25438
463	11387	25424
464	11405	25387
465	11419	25339
466	11452	25333
467	11472	25299
468	11487	25252
469	11492	25185
470	11528	25187
471	11560	25178
472	11586	25156
473	11608	25126
474	11617	25068
475	11647	25057
476	11681	25052
477	11706	25029
478	11720	24982
479	11735	24938
480	11748	24889
481	11764	24846
482	11778	24800
483	11808	24787
484	11844	24788
485	11865	24755
486	11904	24761
487	11935	24750
488	11953	24712
489	11982	24697
490	12014	24688
491	12033	24654
492	12048	24610
493	12078	24596
494	12102	24572
495	12119	24531
496	12150	24521
497	12185	24518
498	12207	24488
499	12230	24461
500	12249	24425
501	12275	24404
502	12311	24402
503	12343	24392
504	12371	24376
505	12402	24362
506	12418	24323
507	12447	24306
508	12468	24275
509	12481	24228
510	12510	24213
511	12529	24177
512	12543	24132
513	12559	24092
514	12585	24071
515	12603	24034
516	12623	24000
517	12654	23989
518	12684	23976
519	12696	23928
520	12730	23921
521	12758	23904
522	12790	23893
523	12820	23880
524	12851	23866
525	12866	23825
526	12900	23817
527	12930	23804
528	12945	23762
529	12964	23727
530	12996	23716
531	13007	23667
532	13027	23635
533	13057	23621
534	13086	23603
535	13117	23591
536	13127	23541
537	13152	23518
538	13163	23470
539	13183	23437
540	13198	23396
541	13217	23362
542	13232	23320
543	13259	23300
544	13277	23265
545	13309	23254
546	13324	23214
547	13375	23236
548	13396	23205
549	13421	23182
550	13460	23182
551	13484	23157
552	13494	23108
553	13523	23093
554	13556	23082
555	13582	23061
556	13621	23061
557	13649	23041
558	13661	22996
559	13695	22988
560	13723	22970
561	13748	22946
562	13768	22915
563	13783	22874
564	13806	22847
565	13846	22849
566	13896	22867
567	13934	22864
568	13957	22837
569	13989	22825
570	14021	22812
571	14048	22791
572	14072	22765
573	14095	22739
574	14108	22695
575	14137	22678
576	14157	22646
577	14186	22629
578	14202	22591
579	14215	22549
580	14234	22515
581	14246	22470
582	14266	22439
583	14280	22398
584	14286	22345
585	14297	22300
586	14342	22307
587	14368	22285
588	14424	22309
589	14438	22270
590	14471	22257
591	14496	22234
592	14513	22199
593	14533	22166
594	14570	22161
595	14603	22150
596	14633	22134
597	14663	22118
598	14695	22104
599	14725	22088
600	14744	22055
601	14759	22017
602	14789	22000
603	14831	22001
604	14854	21974
605	14867	21933
606	14895	21914
607	14929	21902
608	14948	21870
609	14975	21849
610	14992	21813
611	15009	21778
612	15037	21758
613	15085	21768
614	15100	21730
615	15132	21716
616	15153	21686
617	15195	21686
618	15228	21674
619	15259	21658
620	15275	21621
621	15294	21588
622	15334	21587
623	15363	21568
624	15378	21529
625	15393	21491
626	15430	21483
627	15473	21484
628	15508	21475
629	15548	21472
630	15575	21449
631	15593	21416
632	15623	21399
633	15636	21358
634	15641	21306
635	15657	21270
636	15671	21231
637	15697	21208
638	15707	21164
639	15742	21154
640	15752	21109
641	15794	21108
642	15826	21093
643	15858	21079
644	15904	21082
645	15938	21070
646	15966	21050
647	15996	21032
648	16027	21015
649	16053	20992
650	16077	20967
651	16105	20947
652	16140	20935
653	16163	20909
654	16186	20881
655	16219	20867
656	16257	20860
657	16288	20842
658	16321	20829
659	16367	20831
660	16395	20810
661	16425	20792
662	16441	20756
663	16473	20740
664	16492	20708
665	16509	20674
666	16538	20654
667	16580	20650
668	16622	20647
669	16660	20638
670	16686	20615
671	16721	20603
672	16741	20572
673	16765	20546
674	16803	20538
675	16844	20532
676	16859	20495
677	16882	20468
678	16923	20462
679	16930	20415
680	16964	20402
681	16992	20380
682	17002	20338
683	17037	20325
684	17080	20322
685	17136	20334
686	17166	20315
687	17195	20295
